Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,-0.267110557
1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,-0.40035784
0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,-0.426340955
1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,-0.175902715
0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,-0.175939069
0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,-0.247224571
1,0,0,1,1,0,2,1,0,0,0,0,0,0,1,-0.407796873
0,2,0,1,0,1,1,0,1,0,0,0,0,0,1,-0.114079228
0,2,0,0,1,1,1,0,1,0,0,0,0,0,1,-0.173679974
0,1,0,2,0,1,0,0,1,1,0,0,1,0,0,-0.229830674
0,0,1,2,0,0,2,0,0,1,0,0,1,0,0,-0.540452895
0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,-0.105016398
1,1,0,1,0,0,0,1,2,0,1,0,0,0,0,-0.314650395
0,0,1,1,1,0,2,0,1,0,1,0,0,0,0,-0.401267753
