Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
1,0,0,0,0,1,1,1,1,2,3,0,0,0,0,-1.541508469
0,0,0,0,1,2,2,1,1,0,1,0,1,0,1,-1.423133761
0,0,0,1,0,1,3,0,0,2,1,0,0,0,2,-1.036143135
0,0,1,0,0,1,3,0,0,2,1,0,2,0,0,-1.214679358
0,0,0,1,0,1,2,1,1,1,2,0,1,0,0,-1.231766832
0,1,0,0,0,0,2,0,3,1,0,0,1,0,2,-0.486783742
0,0,0,0,1,1,2,1,2,0,1,0,0,0,2,-1.393323056
1,0,0,0,0,0,2,0,3,1,2,0,0,0,1,-1.803051872
0,0,0,1,0,1,2,1,2,0,1,0,2,0,0,-1.410759704
1,0,0,0,0,0,2,0,3,1,2,0,0,0,1,-1.805207408
0,0,1,0,0,0,2,0,3,1,1,0,2,0,0,-1.644538397
0,1,0,0,0,1,2,1,2,0,1,0,1,0,1,-0.54439677
0,0,0,0,1,1,1,1,2,1,0,1,2,0,0,-1.369899306
1,0,0,0,0,0,2,0,1,3,2,0,1,0,0,-1.554925409
0,0,0,0,1,1,1,1,1,2,1,0,1,0,1,-1.401059644
0,0,1,0,0,0,2,0,1,3,1,0,2,0,0,-1.291257567
0,0,0,1,0,1,1,1,1,2,2,1,0,0,0,-1.213843692
0,0,0,1,0,0,2,0,1,3,0,1,1,0,1,-1.025418952
0,0,0,0,1,1,1,1,2,1,2,0,1,0,0,-1.36613889
0,1,0,0,0,1,1,1,1,2,0,0,3,0,0,-0.579615589
0,0,0,0,1,0,2,2,1,1,1,0,1,0,1,-1.352847433
0,0,1,0,0,0,1,1,1,3,1,0,0,1,1,-1.42230333
0,0,0,0,1,0,2,2,1,1,3,0,0,0,0,-1.356273723
0,0,0,0,1,0,1,1,2,2,1,0,0,1,1,-1.350490361
0,0,1,0,0,0,1,1,2,2,1,1,1,0,0,-1.586478413
0,1,0,0,0,0,1,2,2,1,1,1,0,0,1,-0.392990047
0,0,0,0,1,0,1,1,4,0,0,0,1,0,2,-1.305145619
0,0,1,0,0,0,1,1,4,0,1,0,1,1,0,-1.897050381
0,0,1,0,0,0,2,1,2,1,0,1,1,0,1,-1.611535834
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,-1.250875382
0,0,1,0,0,0,2,2,0,2,0,0,1,2,0,-1.389686307
0,0,1,0,0,0,2,1,0,3,1,1,0,1,0,-1.315339143
0,0,0,0,1,0,2,3,0,1,1,1,0,1,0,-1.31962965
0,1,0,0,0,0,2,1,0,3,2,0,1,0,0,-0.587082263
0,0,0,0,1,0,2,2,0,2,2,0,0,0,1,-1.360053833
0,0,0,0,1,0,2,3,0,1,1,0,2,0,0,-1.324875937
0,0,0,1,0,1,1,2,2,0,0,2,0,0,1,-1.357439929
0,0,1,0,0,1,1,2,1,1,1,1,0,0,1,-1.539885178
0,0,0,0,1,1,1,2,2,0,0,0,0,0,3,-1.372318889
0,0,1,0,0,0,0,2,3,1,1,0,0,0,2,-1.74112257
1,0,0,0,0,0,0,2,3,1,1,1,0,0,1,-1.782580661
0,0,1,0,0,1,1,2,2,0,2,0,0,0,1,-1.569153456
0,1,0,0,0,0,0,2,3,1,0,1,0,0,2,-0.419944495
0,0,1,0,0,1,0,1,3,1,1,0,1,0,1,-1.679076109
1,0,0,0,0,1,0,1,2,2,0,1,1,0,1,-1.659622355
0,0,0,0,1,1,0,1,3,1,0,2,1,0,0,-1.297456951
